tab 	measurements
analysts	aniso_s	aniso_type	citations	contribution_id	derived_value	description	dir_csd	dir_dec	dir_inc	display_order	experiment	external_database_ids	files	hyst_charging_mode	hyst_loop	hyst_sweep_rate	instrument_codes	inversion_height	inversion_residuals	magn_b_111	magn_b_111_sigma	magn_b_x	magn_b_x_sigma	magn_b_xyz_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_induction	magn_mass	magn_moment	magn_r2_det	magn_uncal	magn_volume	magn_x	magn_x_sigma	magn_xyz_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	meas_duration	meas_field_ac	meas_field_ac_phi	meas_field_ac_theta	meas_field_dc	meas_field_dc_phi	meas_field_dc_theta	meas_freq	meas_n_orient	meas_orient_phi	meas_orient_theta	meas_pos_x	meas_pos_y	meas_pos_z	meas_temp	meas_temp_change	measurement	method_codes	quality	result_type	row_id	sequence	software_packages	specimen	standard	susc_chi_mass	susc_chi_qdr_mass	susc_chi_qdr_volume	susc_chi_volume	timestamp	treat_ac_field	treat_ac_field_dc_off	treat_ac_field_dc_on	treat_ac_field_decay_rate	treat_dc_field	treat_dc_field_ac_off	treat_dc_field_ac_on	treat_dc_field_decay_rate	treat_dc_field_phi	treat_dc_field_theta	treat_mw_integral	treat_mw_power	treat_mw_step	treat_mw_time	treat_step_num	treat_temp	treat_temp_dc_off	treat_temp_dc_on	treat_temp_decay_rate
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14473-9	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.614e-3	5.940e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14473-10	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.614e-3	5.915e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14473-11	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.613e-3	5.940e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14473						IRM-Magnon																										5.027e-4						1030.00							293		IRM-Magnon-14473-12	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	MA1-OX-cube	u	1.612e-3	5.898e-5			2024:06:05:16:13:32.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14470						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14470-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-2b	u	5.020e-4	1.983e-6			2024:06:05:16:01:21.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14470						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14470-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-2b	u	5.022e-4	2.355e-6			2024:06:05:16:01:21.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14470						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14470-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-2b	u	4.993e-4	4.710e-6			2024:06:05:16:01:21.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14470						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14470-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-2b	u	4.954e-4	4.152e-6			2024:06:05:16:01:21.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14470						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14470-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-2b	u	4.932e-4	3.099e-6			2024:06:05:16:01:21.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14471						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14471-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-3b	u	6.521e-4	3.514e-6			2024:06:05:16:02:47.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14471						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14471-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-3b	u	6.551e-4	2.651e-6			2024:06:05:16:02:47.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14471						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14471-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-3b	u	6.573e-4	5.796e-6			2024:06:05:16:02:47.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14471						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14471-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-3b	u	6.509e-4	5.241e-6			2024:06:05:16:02:47.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14471						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14471-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-3b	u	6.476e-4	1.467e-5			2024:06:05:16:02:47.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14472						IRM-Magnon																										3.770e-4						31.00							293		IRM-Magnon-14472-0	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-5b	u	1.776e-2	1.177e-4			2024:06:05:16:03:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14472						IRM-Magnon																										3.770e-4						305.00							293		IRM-Magnon-14472-1	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-5b	u	1.782e-2	1.492e-4			2024:06:05:16:03:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14472						IRM-Magnon																										3.770e-4						1030.00							293		IRM-Magnon-14472-2	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-5b	u	1.767e-2	2.251e-4			2024:06:05:16:03:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14472						IRM-Magnon																										1.508e-4						1030.00							293		IRM-Magnon-14472-3	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-5b	u	1.739e-2	1.635e-4			2024:06:05:16:03:08.00																			
											IRM-Magnon-LP-X:LP-X-F:LP-X-H-14472						IRM-Magnon																										5.027e-5						1030.00							293		IRM-Magnon-14472-4	LP-X:LP-X-F:LP-X-H	g				IRMDB Version2	SJ1-5b	u	1.737e-2	1.312e-4			2024:06:05:16:03:08.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													20.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-1	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.735e-7	5.017e-9			2024:06:04:14:45:38.00																			
											IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671						IRM-BigRed																										3.000e-4													20.00		IRM-BigRed-LP-X:LP-X-T:LP-X-F-14671-14671-2	LP-X:LP-X-T:LP-X-F	g					SJ1-4-r gelcap	u	3.675e-7	2.964e-9			2024:06:04:14:45:38.00																			
