>>>>>>>>>>
tab	specimens
contribution_id	row_id	specimen	sample	experiments	volume	weight	igsn	igsn_parent	synthetic_alternatives	result_quality	method_codes	citations	meas_temp	meas_orient_theta	meas_orient_phi	azimuth	dip	critical_temp_type	critical_temp_mineral	critical_temp	critical_temp_low	critical_temp_high	hyst_loop	hyst_ms_mass	hyst_mr_mass	hyst_bcr	hyst_bc	hyst_xhf	mineral_type	description	hyst_bc_offset	instrument_codes	rem_hirm_mass	rem_sratio	rem_sratio_forward	rem_sratio_back
		A73-7-1350-4B-01a	A73-7-1350-4		0	6.676E-5				g																				Body sherds (2) - Plain						
>>>>>>>>>>
tab	samples
sample	site	azimuth	dip	lat	lon	height	description	contribution_id
A73-7-1350-4	Level 5		90				non-diagnostic - Thin is likely Late Precontact; Thicker sherd likely Middle Woodland (or large vessel)	This study
>>>>>>>>>>
tab	sites
site	location	lat	lon	elevation	description	contribution_id
Level 5	Feature 18		0		87-92 cm	This study
>>>>>>>>>>
tab	locations
location	lat_s	lon_w	lat_n	lon_e	description	contribution_id
Feature 18						This study
>>>>>>>>>>
tab	measurements
contribution_id	row_id	measurement	experiment	specimen	sequence	standard	quality	method_codes	instrument_codes	display_order	result_type	citations	treat_temp	treat_temp_decay_rate	treat_temp_dc_on	treat_temp_dc_off	treat_ac_field	treat_ac_field_decay_rate	treat_ac_field_dc_on	treat_ac_field_dc_off	treat_dc_field	treat_dc_field_decay_rate	treat_dc_field_ac_on	treat_dc_field_ac_off	treat_dc_field_theta	treat_dc_field_phi	treat_mw_power	treat_mw_time	treat_mw_integral	treat_mw_step	treat_step_num	meas_pos_x	meas_pos_y	meas_pos_z	meas_orient_theta	meas_orient_phi	meas_n_orient	meas_temp	meas_temp_change	meas_freq	meas_duration	meas_field_ac	meas_field_ac_theta	meas_field_ac_phi	meas_field_dc	meas_field_dc_theta	meas_field_dc_phi	inversion_height	inversion_residuals	magn_moment	magn_x	magn_x_sigma	magn_y	magn_y_sigma	magn_z	magn_z_sigma	magn_xyz_sigma	magn_induction	magn_b_x	magn_b_x_sigma	magn_b_y	magn_b_y_sigma	magn_b_z	magn_b_z_sigma	magn_b_111	magn_b_111_sigma	magn_b_xyz_sigma	magn_r2_det	dir_dec	dir_inc	dir_csd	magn_volume	magn_mass	magn_uncal	aniso_type	aniso_s	hyst_loop	hyst_sweep_rate	hyst_charging_mode	susc_chi_volume	susc_chi_mass	susc_chi_qdr_volume	susc_chi_qdr_mass	description	timestamp	software_packages	files	external_database_ids	derived_value	analysts
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-23	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													120.04271697998							0.00253093090057373																							1.77601336299103E-7					0.00901493408007816												2093:06:23:05:26:08.478					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-24	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													125.003128051758							0.00253093090057373																							1.87641273749726E-7					0.00855268676434525												2093:06:23:05:26:38.669					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-25	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													130.067581176758							0.00253093090057373																							1.49004623424528E-7					0.00814205525102548												2093:06:23:05:27:08.721					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-26	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													135.004104614258							0.00253093090057373																							1.11974038827474E-7					0.0078566494732284												2093:06:23:05:27:38.331					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-27	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													140.030456542969							0.00253093090057373																							1.0071596546269E-7					0.00765256241777055												2093:06:23:05:28:08.960					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-28	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													145.011108398438							0.00253093090057373																							9.56212093176132E-8					0.0074830550681195												2093:06:23:05:28:39.570					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-29	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													150.127182006836							0.00253093090057373																							7.96661097336669E-8					0.00732889559962904												2093:06:23:05:29:09.831					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-30	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													155.017639160156							0.00253093090057373																							8.47046563195489E-8					0.00718911843465718												2093:06:23:05:29:39.537					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-31	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													160.020629882813							0.00253093090057373																							8.12508855005172E-8					0.00705264109922618												2093:06:23:05:30:09.766					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-32	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													165.084228515625							0.00253093090057373																							8.55036602355267E-8					0.00692344523789518												2093:06:23:05:30:39.881					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-33	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													170.052711486816							0.00253093090057373																							7.46816911161617E-8					0.006801091824945												2093:06:23:05:31:10.926					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-34	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													175.047271728516							0.00253093090057373																							7.51041555342798E-8					0.00668347290071925												2093:06:23:05:31:40.547					
		A73-7-1350-4B-01a-LP-FC-DC-14109-0-35	A73-7-1350-4B-01a-LP-FC-DC-14109	A73-7-1350-4B-01a		u	g	LP-FC	IRM-MPMS3																													180.025177001953							0.00253093090057373																							7.54790480274903E-8					0.00656977475074699												2093:06:23:05:32:10.363					
