tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-19810640	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.03989	0.006598	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810641	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.04268	0.006539	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810642	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.04566	0.00648	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810643	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.04883	0.006418	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810644	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.0522	0.006354	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810645	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.05582	0.00629	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810646	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.05962	0.006222	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810647	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.06367	0.006154	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810648	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.06802	0.006085	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810649	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.07261	0.006014	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810650	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.07749	0.005943	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810651	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.08266	0.005867	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810652	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.08823	0.005792	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810653	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.09409	0.005715	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810654	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.1003	0.005606	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
